Kingdom,Phylum,Class,Order,Family,Genus,Species
k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Corynebacteriales,f__Gordoniaceae,g__Gordonia,s__Gordonia_hirsuta
k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriia_unclassified,f__Flavobacteriia_unclassified,g__Flavobacteriia_unclassified,s__Flavobacteria_bacterium_BBFL7
k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Anaerostipes,s__Anaerostipes_caccae
k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Pseudonocardiales,f__Pseudonocardiaceae,g__Amycolatopsis,s__Amycolatopsis_pretoriensis
k__Bacteria,p__Chloroflexi,c__Chloroflexia,o__Chloroflexales,f__Chloroflexaceae,g__Chloroflexus,s__Chloroflexus_islandicus
k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Streptosporangiales,f__Thermomonosporaceae,g__Actinomadura,s__Actinomadura_verrucosospora
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Shewanellaceae,g__Shewanella,s__Shewanella_vesiculosa
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lacticaseibacillus,s__Lacticaseibacillus_thailandensis
k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Turicibacteraceae,g__GGB4897,s__GGB4897_SGB106351
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Xanthomonas,s__Xanthomonas_massiliensis
k__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Sphaerochaetaceae,g__Sphaerochaeta,s__Sphaerochaeta_globosa
k__Bacteria,p__Cyanobacteria,c__Cyanobacteria_unclassified,o__Nostocales,f__Nostocaceae,g__Cylindrospermum,s__Cylindrospermum_sp_NIES_4074
k__Bacteria,p__Firmicutes,c__CFGB75980,o__OFGB75980,f__FGB75980,g__GGB27476,s__GGB27476_SGB43516
